round,category,label,Krippendorff's alpha,CI low,CI high,n,Fleiss' kappa,CI low.1,CI high.1,n.1
2,likert turn,grammatical,0.419,0.372,0.464,1634,0.296,0.259,0.333,1634
2,likert turn,quality,0.312,0.267,0.357,1634,0.092,0.061,0.122,1634
2,likert turn,engaging,0.295,0.246,0.344,1634,0.123,0.092,0.153,1634
2,likert turn,proactive,0.279,0.232,0.327,1634,0.098,0.071,0.125,1634
2,likert turn,informative,0.278,0.233,0.321,1634,0.092,0.065,0.123,1634
2,likert turn,relevant,0.239,0.190,0.287,1634,0.100,0.068,0.132,1634
2,likert turn,consistent,0.201,0.150,0.252,1634,0.083,0.052,0.116,1634
2,likert turn,emotional,0.166,0.119,0.214,1634,0.021,-0.009,0.056,1634
2,likert dialogue,informative,0.409,0.257,0.531,108,0.031,-0.089,0.157,108
2,likert dialogue,consistent,0.360,0.199,0.511,108,0.074,-0.023,0.202,108
2,likert dialogue,relevant,0.298,0.133,0.455,108,-0.003,-0.105,0.126,108
2,likert dialogue,quality,0.286,0.117,0.452,108,0.078,-0.028,0.205,108
2,likert dialogue,engaging,0.259,0.074,0.435,108,0.123,0.007,0.265,108
2,likert dialogue,emotional,0.256,0.082,0.433,108,0.046,-0.057,0.178,108
2,likert dialogue,proactive,0.243,0.040,0.426,108,-0.026,-0.121,0.079,108
2,likert dialogue,grammatical,0.132,-0.033,0.297,108,-0.058,-0.173,0.082,108
2,comparative,consistent,0.484,0.318,0.629,108,0.481,0.308,0.645,108
2,comparative,quality,0.447,0.283,0.631,108,0.444,0.295,0.611,108
2,comparative,relevant,0.418,0.238,0.578,108,0.392,0.226,0.553,108
2,comparative,proactive,0.226,0.058,0.391,108,0.222,0.037,0.425,108
2,comparative,grammatical,0.215,0.050,0.390,108,0.024,-0.088,0.162,108
2,comparative,informative,0.209,0.031,0.379,108,0.200,0.027,0.382,108
2,comparative,emotional,0.202,0.016,0.387,108,0.074,-0.050,0.209,108
2,comparative,engaging,0.115,-0.052,0.300,108,0.111,-0.069,0.302,108
2,behavior,topic switch,0.755,0.714,0.795,1634,0.755,0.715,0.791,1634
2,behavior,incorrect fact,0.652,0.570,0.717,1634,0.651,0.577,0.711,1634
2,behavior,life info,0.631,0.588,0.676,1634,0.631,0.586,0.672,1634
2,behavior,correct fact,0.618,0.570,0.660,1634,0.618,0.569,0.664,1634
2,behavior,ignore,0.571,0.502,0.630,1634,0.571,0.500,0.632,1634
2,behavior,antisocial,0.553,0.220,0.799,1634,0.553,0.231,0.823,1634
2,behavior,redundant,0.551,0.470,0.624,1634,0.551,0.477,0.623,1634
2,behavior,empathetic,0.514,0.472,0.558,1634,0.513,0.475,0.556,1634
2,behavior,follow up,0.492,0.447,0.533,1634,0.492,0.447,0.532,1634
2,behavior,preference info,0.491,0.449,0.532,1634,0.491,0.446,0.536,1634
2,behavior,irrelevant,0.456,0.396,0.511,1634,0.456,0.396,0.516,1634
2,behavior,commonsense contradiction,0.442,0.387,0.493,1634,0.442,0.390,0.496,1634
2,behavior,partner contradiction,0.436,0.365,0.514,1634,0.436,0.363,0.509,1634
2,behavior,lack of empathy,0.435,0.376,0.497,1634,0.435,0.369,0.493,1634
2,behavior,self contradiction,0.407,0.321,0.504,1634,0.406,0.316,0.494,1634
2,behavior,uninterpretable,0.137,0.031,0.299,1634,0.137,0.029,0.293,1634
1,likert turn,proactive,0.254,0.027,0.453,75,0.075,-0.051,0.249,75
1,likert turn,consistent,0.185,-0.063,0.385,75,-0.097,-0.202,0.070,75
1,likert turn,quality,0.001,-0.220,0.235,75,0.047,-0.067,0.184,75
1,likert turn,grammatical,-0.032,-0.210,0.160,75,-0.200,-0.254,-0.098,75
1,likert turn,emotional,-0.036,-0.235,0.183,75,0.040,-0.074,0.202,75
1,likert turn,informative,-0.113,-0.324,0.111,75,-0.005,-0.099,0.127,75
1,likert turn,engaging,-0.171,-0.350,0.067,75,-0.088,-0.181,0.060,75
1,likert turn,relevant,-0.208,-0.410,0.055,75,-0.002,-0.118,0.157,75
1,likert dialogue,quality,0.635,,,5,-0.111,-0.613,0.412,5
1,likert dialogue,consistent,0.567,-0.605,0.986,5,0.211,-0.250,1.000,5
1,likert dialogue,engaging,0.540,,,5,-0.034,,,5
1,likert dialogue,relevant,0.383,-0.800,0.943,5,0.032,-1.000,0.655,5
1,likert dialogue,grammatical,0.327,,,5,0.091,,,5
1,likert dialogue,proactive,0.100,-0.043,0.100,5,-0.429,,,5
1,likert dialogue,emotional,0.068,-0.800,0.068,5,-0.613,-1.000,-0.613,5
1,likert dialogue,informative,-0.500,,,5,-0.212,-0.613,0.286,5
1,comparative,proactive,0.688,0.258,0.981,8,0.238,-0.143,0.775,8
1,comparative,emotional,0.531,,,8,0.500,-0.270,1.000,8
1,comparative,informative,0.531,,,8,0.500,-0.333,1.000,8
1,comparative,engaging,0.330,-0.354,0.933,8,0.169,-0.352,0.768,8
1,comparative,relevant,0.330,-0.470,0.911,8,0.169,-0.349,0.768,8
1,comparative,grammatical,0.062,-0.500,0.762,8,0.000,-0.600,0.746,8
1,comparative,consistent,-0.205,-0.671,0.519,8,-0.247,-0.580,0.488,8
1,comparative,quality,-0.205,-0.671,0.548,8,-0.247,-0.600,0.376,8
1,behavior,redundant,0.687,0.247,0.916,75,0.685,0.220,0.916,75
1,behavior,commonsense contradiction,0.567,-0.017,0.924,60,0.564,-0.006,0.914,60
1,behavior,correct fact,0.567,0.321,0.751,75,0.564,0.322,0.755,75
1,behavior,incorrect fact,0.553,,,75,0.550,,,75
1,behavior,self contradiction,0.539,0.149,0.803,75,0.536,0.173,0.801,75
1,behavior,partner contradiction,0.444,0.100,0.771,75,0.440,0.056,0.747,75
1,behavior,empathetic,0.385,-0.073,0.764,30,0.375,-0.118,0.760,30
1,behavior,life info,0.352,-0.019,0.660,60,0.346,0.020,0.677,60
1,behavior,preference info,0.248,-0.037,0.558,60,0.242,-0.028,0.545,60
1,behavior,antisocial,0.000,,,75,-0.007,,,75
1,behavior,lack of empathy,-0.073,,,30,-0.091,,,30
1,behavior,uninterpretable,,,,75,,,,75
0,likert turn,grammatical,0.220,0.100,0.336,368,0.092,0.014,0.185,368
0,likert turn,relevant,-0.163,-0.242,-0.070,368,-0.081,-0.132,-0.011,368
0,likert turn,informative,-0.491,-0.573,-0.398,368,-0.224,-0.269,-0.165,368
0,likert dialogue,informative,0.627,,,10,0.316,-0.162,0.798,10
0,likert dialogue,consistent,0.557,0.117,0.874,10,0.077,-0.314,0.585,10
0,likert dialogue,proactive,0.402,0.041,0.855,10,0.070,-0.359,0.688,10
0,likert dialogue,engaging,0.328,-0.095,0.745,10,-0.138,-0.513,0.487,10
0,likert dialogue,grammatical,0.268,-0.462,0.798,10,-0.053,-0.538,0.478,10
0,likert dialogue,relevant,0.256,-0.727,0.789,10,-0.102,-1.000,0.375,10
0,likert dialogue,quality,0.228,-0.387,0.781,10,0.055,-0.364,0.644,10
0,likert dialogue,emotional,0.182,-0.410,0.634,10,-0.094,-0.417,0.479,10
0,comparative,consistent,0.681,0.148,1.000,12,0.667,0.111,1.000,12
0,comparative,engaging,0.681,0.398,0.911,12,0.238,-0.143,0.678,12
0,comparative,quality,0.681,0.161,1.000,12,0.667,-0.005,1.000,12
0,comparative,grammatical,0.564,-0.013,0.925,12,0.418,-0.024,0.839,12
0,comparative,proactive,0.425,-0.164,0.853,12,0.200,-0.168,0.701,12
0,comparative,informative,0.361,-0.193,0.839,12,0.333,-0.175,0.832,12
0,comparative,relevant,0.361,-0.178,0.839,12,0.333,-0.244,0.832,12
0,comparative,emotional,0.216,-0.315,0.799,12,0.127,-0.274,0.678,12
0,behavior,uninterpretable,0.322,,,152,0.320,,,152
0,behavior,antisocial,,,,233,,,,233
